Bag,Replicate,Sampling,Date,Site,Species,Species_Latin,SH_Temp,SH_Tide,Dilution,Homogenate_added_ul,HCl04_ul_2,Date_Homegenized,Date_Ran,Glycogen content (umol glycosyl units/g protein),Notes
27,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,No_Tide,1,40,1000,30-September-2022,02/10/23,1.31234838,
27,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,No_Tide,1,40,1000,30-September-2022,02/10/23,1.19413075,
27,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,No_Tide,1,40,1000,30-September-2022,02/10/23,6.54687573,
28,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,2.01043332,
28,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.87078843,
28,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.17051133,
28,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.84305207,
28,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.86231657,
29,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,0.86887921,
29,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.55100939,
29,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,4.49026555,
29,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,0.97381177,
29,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,0.85943452,
30,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,-------------------------------- SARAH ALREADY PROCESSED -------------------------------- ,,,,,1.66149902,
30,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,0.97300948,
30,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.33325666,
30,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.41942967,
30,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,15,Tide,1,40,1000,30-September-2022,02/10/23,1.41803107,
31,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.56586818,
31,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.26955082,
31,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,0.97333487,
31,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.58616163,
31,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,2.35684042,
32,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.48959707,
32,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.96286751,
32,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.15817345,
32,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.88873386,
32,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,1.52004884,
33,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,0.61990952,
33,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,0.57053871,
33,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,6.69792387,
33,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,5.46006402,
33,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,Tide,1,40,1000,30-September-2022,02/10/23,4.27456871,
34,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,-------------------------------- SARAH ALREADY PROCESSED -------------------------------- ,,,,,3.12764778,
34,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,2.41800736,
34,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,4.08399682,
34,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,2.78896704,
34,5,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,2.54292503,
35,1,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,-------------------------------- SARAH ALREADY PROCESSED -------------------------------- ,,,,,2.29045799,
35,2,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,1.87854305,
35,3,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,1.31378309,
35,4,2,30-June-2022,TBOC - South,Pacific,M. gigas,21,No_Tide,1,40,1000,30-September-2022,02/10/23,4.21034205,
