Pool_Numb,PlateRun,PlateRunDate,SH_Temp,SH_Tide,Bag,Site,Lease,Species,Year,Cohort,Sample_Date,Sampling_Period,Pool_Rep,Weight_mg,SampleSize,Copies_per_2ul,Copies_per_ul,CopiesX200,Copies_per_mgTissue,log_transform,OsHV1,Pos_Neg,,Notes
698,24,45089,15,No Tide,26,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,3,11.3,5,26.48475983,13.24237991,2648.475983,234.3784055,2.369917595,1,Pos,,
699,24,45089,15,No Tide,26,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,4,13.2,5,21.1713554,10.5856777,2117.13554,160.3890561,2.205174731,1,Pos,,
700,24,45089,15,No Tide,27,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,1,12.5,5,39.36574217,19.68287108,3936.574217,314.9259373,2.498208431,1,Pos,,
701,24,45089,15,No Tide,27,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,2,13.1,5,11.1192447,5.559622349,1111.92447,84.87973052,1.928803992,1,Pos,,
702,24,45089,15,No Tide,27,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,3,14.6,5,15.33024292,7.665121462,1533.024292,105.0016639,2.021196181,1,Pos,,
703,24,45089,15,No Tide,27,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,4,19,5,11.13412102,5.567060511,1113.412102,58.60063695,1.767902337,1,Pos,,
704,24,45089,15,Tide,28,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,1,15.7,4,5.673952976,2.836976488,567.3952976,36.13982787,1.55798608,1,Pos,,
705,24,45089,15,Tide,28,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,2,11.8,4,12.61904451,6.309522254,1261.904451,106.9410552,2.029144465,1,Pos,,
706,25,45089,15,Tide,28,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,3,12.2,4,7.057070227,3.528535113,705.7070227,57.84483792,1.762264609,1,Pos,,
707,25,45089,15,Tide,28,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,4,15.7,4,19.54853447,9.774267236,1954.853447,124.5129584,2.095214552,1,Pos,,
708,25,45089,15,Tide,29,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,1,13,5,12.63906054,6.31953027,1263.906054,97.22354261,1.987771442,1,Pos,,
709,25,45089,15,Tide,29,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,2,10.5,5,17.44267038,8.721335189,1744.267038,166.1206703,2.220423675,1,Pos,,
710,25,45089,15,Tide,29,South,TBOC,M. gigas,2022,2022,10-Aug-22,5,3,11.3,5,4.709739806,2.354869903,470.9739806,41.67911333,1.619918471,1,Pos,,
